artist_name,artist_count,artist_id
"Tiï¿½ï¿½sto, Ava",2,388
"The Weeknd, Swedish House Mafia",2,389
"Juan Cruz Toledo, Huilen Toledo",2,390
BoyWithUke,1,391
"Xamï¿½ï¿½, Gustah, Neo B",3,392
"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,393
Emmy Meli,1,394
"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,395
Shawn Mendes,1,396
Kodak Black,1,397
"Aventura, Bad Bunny",2,398
Rauw Alejandro,1,399
"Ckay, AX'EL, Dj Yo!",3,400
"Bruno Mars, Anderson .Paak, Silk Sonic",3,401
"THE ANXIETY, Willow, Tyler Cole",3,402
Sebastian Yatra,1,403
"Justin Bieber, Daniel Caesar, Giveon",3,404
"Bizarrap, Tiago pzk",2,405
Stromae,1,406
"Chris Brown, Rvssian, Rauw Alejandro",3,407
"NEIKED, Mae Muller, Polo G",3,408
Oliver Tree,1,409
"Kali Uchis, Amaarae, Moliy",3,410
"Young Thug, Future, Gunna",3,411
"Doja Cat, The Weeknd",2,412
Jnr Choi,1,413
"Trueno, Tiago pzk",2,414
"Sech, Bad Bunny, Mora",3,415
"Drake, Project Pat, 21 Savage",3,416
"Tiï¿½ï¿½sto, Kar",2,417
Edison Lighthouse,1,418
"The Weeknd, ROSALï¿½",2,419
"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,420
Surf Curse,1,421
Jason Derulo,1,422
"21 Savage, Gunna",2,423
"24kgoldn, Iann Dior",2,424
"Stephanie Beatriz, Diane Guerrero",2,425
Trueno,1,426
Kanye West,1,427
Playboi Carti,1,428
Maluma,1,429
"Ed Sheeran, Fireboy DML",2,430
"Prezioso, Gabry Ponte, LUM!X",3,431
Tiï¿½ï¿,1,432
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,433
TWICE,1,434
Giveon,1,435
"Sean Paul, Dua Lipa",2,436
"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,437
SALES,1,438
Sleepy hallow,1,439
Masked Wolf,1,440
"Anuel Aa, Jhay Cortez",2,441
NIKI,1,442
Tate McRae,1,443
Avicii,1,444
"Drake, Future, Young Thug",3,445
"Imagine Dragons, League of Legends, Arcane",3,446
Tones and I,1,447
Juice WRLD,1,448
"J Balvin, Maria Becerra",2,449
John Legend,1,450
Nirvana,1,451
Duncan Laurence,1,452
"Drake, Travis Scott",2,453
"Tini, L-Gante",2,454
SiM,1,455
