track_id,spotify_playlists,spotify_charts,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,streams
420,1054,0,9,0,15,0,1,168684524
421,2849,0,39,45,27,0,1,78489819
422,1602,0,12,22,12,0,2,195516622
423,9644,28,120,86,164,4,0,1260594497
424,4827,0,104,17,76,9,2,428685680
425,21811,0,117,1,676,3,0,1024858327
426,168,0,0,0,5,0,0,838586769
427,688,0,14,1,17,0,2,199386237
428,10565,44,238,122,557,17,58,972509632
429,1612,0,34,54,34,0,2,213438580
430,12755,8,344,97,945,15,0,1555511105
431,574,4,38,101,26,0,0,210038833
432,2499,0,70,0,49,0,0,227918678
433,10426,2,133,109,182,1,10,826623384
434,15894,8,198,13,544,0,60,1802514301
435,9424,0,202,50,463,4,0,1329090101
436,713,7,2,4,6,0,0,181831132
437,7758,28,173,79,175,0,168,462791599
438,2537,2,8,18,20,0,1,348647203
439,292,6,26,98,4,0,0,366599607
440,323,0,4,0,14,0,0,90598517
441,14143,4,56,38,0,1,0,1479264469
442,25653,0,387,132,0,0,0,1449779435
443,22153,0,274,111,0,0,0,1159176109
444,14994,0,191,168,206,0,0,769213520
445,10326,0,165,99,104,0,0,741301563
446,12353,0,35,0,549,0,0,807561936
447,9408,0,231,106,439,0,0,834129063
448,8879,0,182,107,160,0,1,663832097
449,6512,0,88,1,277,0,0,446390129
450,5140,0,85,110,500,0,0,690104769
451,6596,0,144,99,251,0,0,485285717
452,3788,0,21,3,10,0,0,520034544
453,7655,0,5,0,291,0,0,476244795
454,9577,0,195,111,310,0,0,629173063
455,10114,0,114,74,262,0,0,404664135
456,1007,0,5,31,1,0,0,98709329
457,1127,0,16,63,8,0,0,110849052
458,10829,0,130,1,390,0,0,460492795
459,1042,0,7,29,3,0,0,94005786
460,7930,0,108,120,73,0,0,395591396
461,11500,0,140,72,251,0,0,389771964
462,1685,0,1,0,29,0,0,403939487
463,14169,0,209,30,449,0,0,481697415
464,1634,0,16,20,4,0,0,110073250
465,906,0,6,21,3,0,0,88092256
466,1087,0,90,35,5,0,0,351636786
467,10585,0,126,108,406,0,0,473248298
468,827,0,6,18,1,0,0,73981293
469,1420,4,13,87,17,0,46,155653938
470,11940,0,73,79,123,0,0,395591396
471,888,0,50,0,6,0,0,429504768
472,9122,0,121,58,212,0,0,242767149
473,892,0,3,17,2,0,0,65362788
474,989,0,5,9,1,0,0,67540165
475,819,0,14,22,0,0,0,62019074
476,2209,0,72,90,141,0,0,135723538
477,6290,0,89,39,158,0,0,295998468
478,6952,0,115,53,286,0,0,261116938
479,313,2,10,6,7,1,9,136689549
480,353,2,2,74,14,0,2,135611421
481,4094,0,66,96,43,0,0,356709897
482,880,0,3,7,10,0,0,110649992
346,573,0,1,0,18,0,24,301869854
483,573,0,1,0,18,0,24,301869854
484,3299,0,65,39,41,0,0,127027715
485,811,0,6,11,3,0,0,57144458
486,899,0,2,14,2,0,0,56870689
487,2415,0,33,57,30,0,11,323437194
488,2304,0,12,16,14,0,0,317726339
489,1003,0,21,0,44,0,0,116144341
